Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“Angel Heart”,"Mickey Rourke, Robert De Niro, Lisa Bonet, Charlotte Rampling, Pruitt Taylor Vince",TriStar,1987,108 min.,512,1301
“Angriff ist die beste Verteidigung”,"Dudley Moore, Eddie Murphy, Kate Capshaw, George Dzundza, David Rasche, Raye Birk, David Paymer",Paramount Pictures,1984,90 min.,,2
“Animal – Das Tier im Manne”,"Rob Schneider, John C. McGinley, Michael Caton, Adam Sandler",Columbia Pictures,2001,79 min.,429,
“Antz”,,DreamWorks Pictures,1998,79 min.,244,
“Apocalypse Now Redux”,"Martin Sheen, Marlon Brando, Robert Duvall, Laurence Fishburne, Dennis Hopper, Harrison Ford, Scott Glenn, Colleen Camp, Francis Ford Coppola, R. Lee Ermey",Paramount Pictures,1979,194 min.,,1764
“Archie und Harry – Sie können’s nicht lassen”,"Kirk Douglas, Burt Lancaster, Dana Carvey, Charles Durning, Eli Wallach",Touchstone Pictures,1986,99 min.,405,
“Arlington Road”,"Jeff Bridges, Tim Robbins",Polygram Films,1999,112 min.,297,Kauf
“Armageddon – Das jüngste Gericht”,"Bruce Willis, Ben Affleck, Liv Tyler, Billy Bob Thornton, Udo Kier, Bodi Elfman, Keith David (I), Peter Stormare",Touchstone Pictures,1998,144 min.,246,
“Asterix in America”,,Jugendfilm-Verleih,1994,81 min.,,178
“Asterix & Obelix gegen Caesar”,"Christian Clavier, Gérard Depardieu, Roberto Benigni, Gottfried John, Laetitia Casta, Hardy Krüger Jr., Marianne Sägebrecht",Constantin Film,1999,109 min.,418,988
“Asterix & Obelix – Mission Kleopatra”,"Christian Clavier, Gérard Depardieu, Monica Bellucci",Le Studio Canal+,2002,103 min.,460,989
“Auf brennendem Eis”,"Steven Seagal, Michael Caine, John C. McGinley, R. Lee Ermey, Billy Bob Thornton, Mike Starr, Sven-Ole Thorsen, Irvin Kershner, Louise Fletcher",Warner Bros.,1994,97 min.,,Digital Copy
“Auf den ersten Blick”,"Val Kilmer, Mira Sorvino",Metro Goldwyn Mayer,1999,123 min.,287,795
“Auf der Flucht”,"Harrison Ford, Tommy Lee Jones, Andreas Katsulas, Joe Pantoliano, Julianne Moore, Richard Riehle",Warner Bros.,1993,125 min.,369,Kauf (BD)
“Auf der Jagd”,"Tommy Lee Jones, Wesley Snipes, Robert Downey Jr., Joe Pantoliano",Warner Bros.,1998,121 min.,229,Kauf
“Auf der Suche nach dem goldenen Kind”,"Eddie Murphy, Charles Dance",Paramount Pictures,1986,89 min.,316,1376
“Auf die harte Tour”,"Michael J. Fox, James Woods, Luis Guzman, LL Cool J, Christina Ricci",Universal Pictures,1991,107 min.,257,Kauf
“Auf die stürmische Art”,"Sandra Bullock, Ben Affleck, Maura Tierney, Steve Zahn, Ronny Cox, Blythe Danner, Richard Schiff",DreamWorks Pictures,1999,101 min.,416,
"""Auf Messers Schneide – Rivalen am Abgrund""","Anthony Hopkins, Alec Baldwin, Elle Macpherson, Harold Perrineau",20th Century Fox,1997,113 min.,,115
“Aufgelegt!”,"Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau, Edie McClurg",Columbia Pictures,2000,88 min.,469,1571
“Aus Mangel an Beweisen”,"Harrison Ford, Brian Dennehy, Raul Julia, Bonnie Bedelia, Paul Winfield, Greta Scacchi, Joe Grifasi",Warner Bros.,1990,122 min.,431,
“Aus nächster Nähe”,"Michelle Pfeiffer, Robert Redford, Joe Mantegna, Glenn Plummer, James Rebhorn, Miguel Sandoval (I), Noble Willingham",Touchstone Pictures,1996,119 min.,363,577
“Ausnahmezustand”,"Denzel Washington, Annette Bening, Bruce Willis",20th Century Fox,1998,111 min.,270,1146
“Außer Kontrolle”,"Keanu Reeves, Morgan Freeman, Rachel Weisz, Fred Ward, Kevin Dunn, Brian Cox, Joanna Cassidy",20th Century Fox,1996,102 min.,,44
"“Austin Powers – Das Schärfste, was Ihre Majestät zu bieten hat”","Mike Myers, Elizabeth Hurley, Michael York, Robert Wagner, Seth Green, Mindy Sterling, Charles Napier, Clint Howard, Elya Baskin, Brian George (I), Burt Bacharach, Tom Arnold, Carrie Fisher, Rob Lowe, Christian Slater",New Line Cinema,1997,92 min.,423,Kauf
“Austin Powers – Spion in geheimer Missionars-stellung”,"Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe, Seth Green, Elizabeth Hurley, Woody Harrelson, Tim Robbins, Rebecca Romijn-Stamos",New Line Cinema,1999,91 min.,347,Kauf
“Austin Powers in Goldständer”,"Mike Myers, Beyoncé Knowles, Seth Green, Michael York, Robert Wagner, Mindy Sterling, Michael Caine, Fred Savage, Tom Lister Jr., Clint Howard, Tom Cruise, Gwyneth Paltrow, Kevin Spacey, Danny DeVito, Steven Spielberg, Britney Spears, Ozzy Osbourne, Sharon Osbourne, Kelly Osbourne, Jack Osbourne, John Travolta, Burt Bacharach, Rob Lowe, Kristen Johnston",New Line Cinema,2002,91 min.,521,
“Avatar”,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Giovanni Ribisi, Michelle Rodriguez, Wes Studi, CCH Pounder",20th Century Fox,2009,162 min.,,Kauf (BD)
"""Avenging Angelo""","Sylvester Stallone, Madeleine Stowe, Anthony Quinn",Warner Bros.,2002,94 min.,,151
“Bachelor Party”,"Tom Hanks, Michael Dudikoff",20th Century Fox,1984,101 min.,251,791
"“Backdraft – Männer, die durchs Feuer gehen”","Kurt Russell, William Baldwin, Robert De Niro, Donald Sutherland, Jennifer Jason Leigh, Scott Glenn, J.T. Walsh, Clint Howard",Universal Pictures,1991,121 min.,487,
“Bad Company”,"Ellen Barkin, Laurence Fishburne, Frank Langella, Gia Carides, David Ogden Stiers, David Hugh Kelly, James Hong",Touchstone Pictures,1995,104 min.,,193
“Bad Company – Die Welt ist in guten Händen”,"Anthony Hopkins, Chris Rock, Peter Stormare",Touchstone Pictures,2002,112 min.,182,1761
“Bad Lieutenant”,Harvey Keitel,Aries Films,1992,92 min.,,1080
"""Ballistic – Ecks vs. Sever""","Antonio Banderas, Lucy Liu, Gregg Henry, Miguel Sandoval",Warner Bros.,2002,87 min.,,131
“Bananas”,"Woody Allen, Sylvester Stallone",United Artists,1971,78 min.,,
“Banditen”,"Bruce Willis, Billy Bob Thornton, Cate Blanchett, January Jones (I), Richard Riehle",Metro-Goldwyn- Mayer,2001,118 min.,,1166
“Barb Wire”,"Pamela Anderson, Udo Kier",Polygram Films,1996,93 min.,338,Kauf (BD)
"""Barbaras Baby – Omen III""",Sam Neill,20th Century Fox,1981,104 min.,,533
“Barbershop”,"Ice Cube, Cedric the Entertainer",Metro-Goldwyn-Mayer,2002,98 min.,,15
“Basic”,"John Travolta, Connie Nielsen, Samuel L. Jackson, Giovanni Ribisi, Harry Connick Jr.",Columbia Pictures,2003,98 min.,,206
“Basic Instinct”,"Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Bruce A. Young, Wayne Knight, Stephen Tobolowsky, James Rebhorn",TriStar/Le Studio Canal+,1992,123 min.,,787
“Batman”,"Michael Keaton, Jack Nicholson, Kim Basinger, Billy Dee Williams, Jack Palance, Robert Wuhl, Pat Hingle, Michael Gough, Tracey Walter",Warner Bros.,1989,121 min.,354,Kauf
“Batmans Rückkehr”,"Michael Keaton, Michelle Pfeiffer, Danny DeVito, Christopher Walken, Vincent Schiavelli",Warner Bros.,1992,121 min.,235,Kauf
“Batman Begins”,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy, Tom Wilkinson, Rutger Hauer, Ken Watanabe, Mark Boone Junior, Morgan Freeman, Jack Gleeson",Warner Bros.,2005,140 min.,,Kauf (BD)
“Battlestar Galactica – The Plan”,"Edward James Olmos, Dean Stockwell, Michael Trucco, Grace Park, Michael Hogan, Aaron Douglas, Callum Keith Rennie, Kate Vernon, Rick Worthy, Tricia Helfer",Universal Pictures,2009,106 min.,,Kauf
“Bedtime Stories”,"Adam Sandler, Keri Russell, Guy Pearce, Russell Brand, Richard Griffiths, Lucy Lawless, Courteney Cox, Jonathan Pryce, Carmen Electra, Rob Schneider",Walt Disney Pictures,2008,95 min.,,1320
“Beetlejuice”,"Alec Baldwin, Geena Davis, Michael Keaton, Jeffrey Jones, Catherine O’Hara, Winona Ryder, Glenn Shadix, Sylvia Sidney, Robert Goulet",Warner Bros.,1988,88 min.,427,
