Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“Kein Pardon”,"Hape Kerkeling, Heinz Schenk, Kurt Weinzierl, Dirk Bach, Dirk Dautzenberg",Tobis,1993,92 min.,380,252
“Keine halben Sachen”,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan, Natasha Henstridge, Amanda Peet, Kevin Pollak",Warner Bros.,2000,92 min.,464,1527
“Keine halben Sachen 2 – Jetzt erst recht”,"Bruce Willis, Matthew Perry, Amanda Peet, Natasha Henstridge, Kevin Pollak",Warner Bros.,2004,95 min.,,298
“Keinohrhasen”,"Til Schweiger, Nora Tschirner, Jürgen Vogel, Rick Kavanian, Armin Rohde, Wolfgang Stumph, Barbara Rudnik, Christian Tramitz, Anne-Sophie Briest, Yvonne Catterfeld, Wladimir Klitschko, Sonsee Neu, Barbara Schöneberger",Warner Bros.,2007,111 min.,,1050
“Kentucky Fried Movie”,"David Zucker, Donald Sutherland, Henry Gibson, Bill Bixby, Charlotte Zucker, Branscombe Richmond, John Landis, Leslie Nielsen, George Lazenby",United Film Distribution Company,1977,81 min.,,Kauf
“Kevin – Allein zu Haus”,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O’Hara, John Heard, Roberts Blossom, Gerry Bamman, Kieran Culkin, John Candy, Billie Bird, Bill Erwin",20th Century Fox,1990,98 min.,64,126
"""Kevin – Allein in New York""","Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O’Hara, John Heard, Gerry Bamman, Kieran Culkin, Tim Curry, Brenda Fricker, Eddie Bracken, Dana Ivey, Rob Schneider, Rip Taylor, Ally Sheedy, Ron Canada, Donald Trump",20th Century Fox,1992,115 min.,,134
“Kevin & Perry ...tun es”,Rhys Ifans,Icon Entertainment,2000,79 min.,393,
“Kill the Boss”,"Jason Bateman, Jason Sudeikis, Charlie Day, Kevin Spacey, Jennifer Aniston, Colin Farrell, Donald Sutherland, Jamie Foxx, Ioan Gruffudd, Julie Bowen",Warner Bros. / New Line Cinema,2011,105 min.,,1634
“Kindergarten Cop”,"Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt, Richard Tyson",Universal Pictures,1990,102 min.,,1536
"""Kindsköpfe""","Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Steve Buscemi, Blake Clark",Columbia Pictures,2010,98 min.,,1440
“King Kong”,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Peter Jackson",Universal Pictures,2005,180 min.,,438
“Kiss & Kill”,"Asthon Kutcher, Katherine Heigl, Tom Selleck, Catherine O’Hara, Martin Mull",Lionsgate,2010,96 min.,,Kauf
“Kleines Arschloch”,,Senator Film,1997,76 min.,465,
“Klick”,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff, Henry Winkler, Sean Astin, Jennifer Coolidge, Sophie Monk, Rob Schneider",Columbia Pictures,2006,103 min.,,762
“Knockaround Guys”,"Barry Pepper, Andrew Davoli, Seth Green, Vin Diesel, John Malkovich, Dennis Hopper, Mike Starr",New Line Cinema,2001,88 min.,,26
“Kondom des Grauens”,"Udo Samel, Peter Lohmeyer, Iris Berben, Ron Williams, Ralf Wolter, Hella von Sinnen",Ascot Film,1996,103 min.,93,81
“Könige der Wellen”,,Columbia Pictures,2007,82 min.,,1028
“Kopf über Wasser”,"Harvey Keitel, Cameron Diaz, Billy Zane",New Line Cinema/ Warner Bros.,,88 min.,16,Kauf
“Kopfüber in die Nacht”,"Jeff Goldblum, Michelle Pfeiffer, Dan Aykroyd, David Bowie, Richard Farnsworth, John Landis, Jim Henson, Bruce McGill",Universal Pictures,1985,111 min.,451,
“Kuck’ mal wer da spricht!”,"John Travolta, Kirstie Alley, Olympia Dukakis",TriStar,1989,90 min.,230,566
"“Kuck’ mal, wer da spricht – Teil 2”","John Travolta, Kirstie Alley, Olympia Dukakis",TriStar,1990,77 min.,249,1569
“L.A. Confidential”,"Russell Crowe, Guy Pearce, Kevin Spacey, James Cromwell, Kim Basinger, Danny DeVito, Matt McCoy, Paul Guilfoyle (II)",Warner Bros.,1997,131 min.,412,1095
“L.A. Story”,"Steve Martin, Richard E. Grant, Sarah Jessica Parker, Patrick Stewart, Chevy Chase, Woody Harrelson, Rick Moranis, Kevin Pollak, Iman, Larry Miller",TriStar,1991,90 min.,427,Kauf
“Ladykillers”,"Tom Hanks, Marlon Wayans, J.K. Simmons, Tzi Ma, Bruce Campbell",Touchstone Pictures,2004,103 min.,,278
“Lake Placid”,"Bill Pullman, Bridget Fonda, Oliver Platt, Betty White (I), Brendan Gleeson",20th Century Fox,1999,78 min.,344,390
“Lammbock”,"Moritz Bleibtreu, Elmar Wepper, Alexandra Neldel",WDR/arte/Senator Film,2001,89 min.,447,
“Lara Croft – Tomb Raider”,"Angelina Jolie, Daniel Craig, Jon Voight",Paramount Pictures,2001,97 min.,196,Kauf (DVD + BD)
“Lara Croft – Tomb Raider – Die Wiege des Lebens”,"Angelina Jolie, Gerard Butler, Ciarán Hinds, Djimon Hounsou, Til Schweiger",Paramount Pictures,2003,112 min.,,137/ Kauf (DVD + BD)
“Last Action Hero”,"Arnold Schwarzenegger, F. Murray Abraham, Charles Dance, Frank McRae, Robert Prosky, Anthony Quinn, Ian McKellen, Joan Plowright, Tina Turner, Rick Ducommun, Colleen Camp, James Belushi, Chevy Chase, M.C. Hammer, Little Richard, Robert Patrick, Maria Shriver, Sharon Stone, Jean-Claude Van Damme, Damon Wayans",Columbia Pictures,1993,125 min.,385,1408
“Last Boy Scout”,"Bruce Willis, Damon Wayans, Halle Berry, Rick Ducommun",Warner Bros.,1991,97 min.,270,
“Last Knights”,"Clive Owen, Morgan Freeman, Cliff Curtis, Aksel Hennie",Lionsgate Home Entertainment,2015,115 min.,,Digital Copy
“Last Man Standing”,"Bruce Willis, Christopher Walken, Bruce Dern",New Line Cinema,,92 min.,30,1341
“Last Vegas”,"Michael Douglas, Robert De Niro, Morgan Freeman, Kevin Kline, Mary Steenburgen, Michael Ealy, Joanna Gleason, 50 Cent",Universal Pictures,2013,105 min.,,Kauf (BD)
“Leben”,"Eddie Murphy, Martin Lawrence, Obba Babatundé, Nick Cassavetes, Anthony Anderson, Bernie Mac, Ned Beatty, Noah Emmerich, R. Lee Ermey",Universal Pictures,1999,104 min.,502,Kauf
“Leben und Lieben in L.A.”,"Sean Connery, Gena Rowlands, Angelina Jolie, Ryan Phillippe, Gillian Anderson, Jon Stewart, Madeleine Stowe, Dennis Quaid, Jay Mohr",Miramax Films,1998,115 min.,363,
“Leben und Sterben in L.A.”,Willem Dafoe,Metro Goldwyn Mayer,1985,110 min.,280,
“Lebenszeichen – Proof of Life”,"Russell Crowe, Meg Ryan, David Morse, Pamela Reed, David Caruso, Anthony Heald, Gottfried John",Warner Bros./Castle Rock Entertainment,2000,129 min.,438,
“Left Behind”,"Nicolas Cage, Chad Michael Murray, Lea Thompson, Nicky Whelan, Cassi Thomson, Martin Klebba, Gary Grubbs",eOne Entertainment / Arclight Films,2014,110 min.,,Digital Copy
“Leon”,"Jean-Claude Van Damme, Ashley Johnson, Brian Thompson",Universal Pictures,1990,93 min.,506,
“Léon – Der Profi – Director’s Cut”,"Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Samy Naceri",Columbia Pictures,1994,127 min.,,992
“Leslie Nielsen ist sehr verdächtig”,"Leslie Nielsen, Michael York",Constantin Film,1998,82 min.,247,1449
"“Lethal Invasion – Attacke der Alien-Viren, Teil 1”","Luke Perry, Kim Cattrall, Rebecca Gayheart",Von Zerneck-Sertner Films,1997,87 min.,47,381
"“Lethal Invasion – Attacke der Alien-Viren, Teil 2”","Luke Perry, Kim Cattrall, Rebecca Gayheart",Von Zerneck-Sertner Films,1997,89 min.,47,107
“Lethal Weapon – Zwei stahlharte Profis”,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan, Mary Ellen Trainor",Warner Bros.,1987,103 min.,326,Kauf
“Lethal Weapon 2 – Brennpunkt L.A.”,"Mel Gibson, Danny Glover, Joe Pesci, Patsy Kensit, Mary Ellen Trainor",Warner Bros.,1989,113 min.,453,958/ Kauf
“Lethal Weapon 3 – Die Profis sind zurück”,"Mel Gibson, Danny Glover, Rene Russo, Joe Pesci, Mary Ellen Trainor",Warner Bros.,1992,113 min.,177,Kauf
“Lethal Weapon 4 – Zwei Profis räumen auf”,"Mel Gibson, Danny Glover, Joe Pesci, Jet Li, Rene Russo",Warner Bros.,1998,122 min.,275,866/ Kauf
“Liebe in jeder Beziehung”,"Paul Rudd, Jennifer Aniston, Hayden Panettiere, Alan Alda, Allison Janney, John Pankow, Steve Zahn, Gabriel Macht, Nigel Hawthorne",20th Century Fox,1998,107 min.,,Kauf
"“Liebling, jetzt haben wir ein Riesenbaby”","Rick Moranis, Robert Oliveri, Lloyd Bridges, John Shea, Keri Russell, Ron Canada",Walt Disney Pictures,1992,86 min.,516,1243
“Life of Pi – Schiffbruch mit Tiger”,"Suraj Sharma, Irrfan Khan, Gérard Depardieu",Fox 2000 Pictures,2012,126 min.,,Kauf (BD)
“Little Nicky”,"Adam Sandler, Patricia Arquette, Harvey Keitel, Rhys Ifans, Tom Lister Jr., Rodney Dangerfield, Allen Covert, Reese Witherspoon, Dana Carvey, Jon Lovitz, Michael McKean, Quentin Tarantino, Carl Weathers, Rob Schneider, John Witherspoon, Clint Howard, Henry Winkler, Ozzy Osbourne, Dan Marino",New Line Cinema,2000,86 min.,,1375
“Little Nikita”,"Sidney Poitier, River Phoenix",Columbia Pictures,1988,93 min.,271,354
“Lock Up – Überleben ist alles”,"Sylvester Stallone, Donald Sutherland, John Amos (I), Tom Sizemore, Frank McRae, Danny Trejo",TriStar,1989,99 min.,333,903
“Lockere Geschäfte”,"Tom Cruise, Richard Masur, Joe Pantoliano",Geffen Film Company,1983,94 min.,245,1056
“Loser – Auch Verlierer haben Glück”,"Jason Biggs, Mena Suvari, Greg Kinnear, Dan Aykroyd, David Spade",Columbia Pictures,2000,92 min.,215,
“Lost in Space”,Gary Oldman,New Line Cinema,1998,125 min.,273,987
“Lost Souls”,"Winona Ryder, Ben Chaplin, Philip Baker Hall, John Diehl, John Hurt, Elias Koteas, Alfre Woodard",New Line Cinema,2000,93 min.,402,Kauf
“Love Vegas”,"Cameron Diaz, Ashton Kutcher, Rob Corddry, Treat Williams, Dennis Farina, Queen Latifah, Dennis Miller",20th Century Fox,2008,97 min.,,Kauf
“Lucky Numbers”,"John Travolta, Lisa Kudrow, Tim Roth, Ed O’Neill, Michael Rapaport, Bill Pullman, Richard Schiff, Michael Moore, Sam McMurray",Paramount Pictures/ Studio Canal/ DreamWorks Pictures,2000,101 min.,,
“Lucy”,"Scarlett Johansson, Morgan Freeman, Luc Besson",Universal Pictures / Canal+,2014,88 min.,,Kauf (BD)
“Mad Max II – Der Vollstrecker”,"Mel Gibson, Bruce Spence",Warner Bros.,1981,91 min.,448,Kauf (BD)
“Mad Max – Jenseits der Donnerkuppel”,"Mel Gibson, Tina Turner, Bruce Spence",Warner Bros.,1985,101 min.,265,Kauf (BD)
“Made in America”,"Whoopi Goldberg, Ted Danson, Nia Long, Will Smith, Jennifer Tilly, David Bowe, Clyde Kusatsu",Warner Bros.,1993,105 min.,436,
“Mafia! Eine Nudel macht noch keine Spaghetti”,"Jay Mohr, Christina Applegate, Lloyd Bridges, Olympia Dukakis, Andreas Katsulas",Touchstone Pictures,1998,79 min.,276,961
“Maggie”,"Arnold Schwarzenegger, Abigail Breslin, J.D. Evermore",Lionsgate,2015,97 min.,,Digital Copy
“Magnolia”,"Tom Cruise, Julianne Moore, William H. Macy, Philip Seymour Hoffman, Philip Baker Hall, Patton Oswalt, Alfred Molina, Jason Robards, Thomas Jane, John C. Reilly, Luis Guzmán, Orlando Jones, Henry Gibson, Ricky Jay",New Line Cinema,1999,173 min.,,1419
“Magnolien aus Stahl – Die Stärke der Frauen”,"Sally Field, Shirley MacLaine, Daryl Hannah, Olympia Dukakis, Julia Roberts, Tom Skerritt, Sam Shepard, Kevin J. O’Connor, Bibi Besch",TriStar,1989,113 min.,,344
“Maleficent”,"Angelina Jolie, Elle Fanning, Sharlto Copley",Walt Disney Pictures,2014,98 min.,,Kauf (BD)
"“Mama, ich und wir zwei”","John Candy, Ally Sheedy, Kevin Dunn, Anthony Quinn, James Belushi, Macaulay Culkin, Kieran Culkin",20th Century Fox,1991,100 min.,,82
“Man on the Moon”,"Jim Carrey, Danny DeVito, Paul Giamatti, Courtney Love, Vincent Schiavelli, Jerry Lawler, Patton Oswalt, Tracey Walter, David Letterman, Christopher Lloyd",Universal Pictures,1999,113 min.,,
“Manhattan”,"Woody Allen, Diane Keaton, Mariel Hemingway, Meryl Streep, Karen Allen, David Rasche, Wallace Shawn",United Artists,1979,92 min.,508,
"""Manhattan Love Story – Maid in Manhattan""","Jennifer Lopez, Ralph Fiennes, Stanley Tucci, Bob Hoskins",Columbia Pictures,2002,101 min.,,Kauf
“Männer...”,"Heiner Lauterbach, Uwe Ochsenknecht, Ulrike Kriener, Dietmar Bär, Doris Dörrie",Constantin Film,1985,95 min.,,Digital Copy
"""Männer, die auf Ziegen starren""","George Clooney, Ewan McGregor, Jeff Bridges, Kevin Spacey, Stephen Lang, Robert Patrick, Glenn Morshower",BBC Films,2009,89 min.,,1481
“Männerzirkus”,"Ashley Judd, Greg Kinnear, Hugh Jackman, Marisa Tomei, Colleen Camp",20th Century Fox,2001,93 min.,,1531
“Manta Manta”,"Til Schweiger, Tina Ruland, Michael Kessler (I)",Neue Constantin Film,1991,87 min.,380,141
“Married Life”,"Chris Cooper, Pierce Brosnan, Patricia Clarkson, Rachel McAdams, David Wenham, Ty Olsson",Metro-Goldwyn-Mayer,2007,87 min.,,1373
“Mars Attacks!”,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Tom Jones, Lukas Haas, Natalie Portman, Pam Grier, Jack Black, Paul Winfield, Rance Howard, Christina Applegate",Warner Bros.,1996,101 min.,,Kauf
“Marvel’s The Avengers”,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Stellan Skarsgard, Samuel L. Jackson, Gwyneth Paltrow, Powers Boothe, Kenneth Tigar, Harry Dean Stanton, Ashley Johnson, Stan Lee",Paramount Pictures,2012,144 min.,,Kauf (BD)
“Masterminds – Das Duell”,Patrick Stewart,Columbia Pictures,1997,100 min.,237,
“Matrix”,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Joe Pantoliano",Warner Bros.,1999,131 min.,284,98/ Kauf (DVD + BD)
“Maze Runner – Die Auserwählten im Labyrinth”,"Dylan O’Brien, Ki Hong Lee, Thomas Brodie-Sangster, Will Poulter, Kaya Scodelario, Patricia Clarkson",20th Century Fox,2014,113 min.,,Kauf (BD)
“Medicine Man – Die letzten Tage von Eden”,Sean Connery,Hollywood Pictures,1992,101 min.,,671
“Meerjungfrauen küssen besser”,"Cher, Winona Ryder, Bob Hoskins, Christina Ricci",Orion Pictures,1990,101 min.,,
“Mein Name ist Nobody”,"Terence Hill, Henry Fonda",Rialto Film/Tobis,1973,109 min.,479,122
“Mein Partner mit der kalten Schnauze 2”,"James Belushi, Christine Tucci, James Handy",Universal Pictures,1999,87 min.,440,Kauf
“Mein Partner mit der kalten Schnauze 3”,James Belushi,Universal Pictures,2002,91 min.,520,
“Mein Vetter Winnie”,"Joe Pesci, Ralph Macchio",20th Century Fox,1991,114 min.,253,300
"“Meine Braut, ihr Vater und ich”","Robert De Niro, Ben Stiller, James Rebhorn, Owen Wilson",DreamWorks Pictures/ Universal Pictures,2000,104 min.,384,
"""Meine erfundene Frau""","Adam Sandler, Jennifer Aniston, Nicole Kidman, Nick Swardson, Brooklyn Decker, Dave Matthews, Allen Covert, Andy Roddick, Branscombe Richmond",Columbia Pictures,2011,112 min.,,1525
"“Meine Frau, die Spartaner und ich”","Carmen Electra, Kevin Sorbo, Diedrich Bader",20th Century Fox,2008,83 min.,,1152
"“Meine Frau, ihre Schwiegereltern und ich”","Robert De Niro, Ben Stiller, Dustin Hoffman, Barbra Streisand, Blythe Danner, Teri Polo, Owen Wilson",DreamWorks Pictures/ Universal Pictures,2004,110 min.,,433
“Meine Stiefmutter ist ein Alien”,"Dan Aykroyd, Kim Basinger, Jon Lovitz, Alyson Hannigan, Seth Green, Juliette Lewis, Earl Boen",Columbia Pictures,1988,103 min.,308,778
“Mel Brooks – Die verrückte Geschichte der Welt”,"Mel Brooks, Dom DeLuise, Art Metrano, Barry Levinson, John Hurt, Nigel Hawthorne",Columbia Pictures,1981,87 min.,267,57
“Mel Brooks’ Höhenkoller”,"Mel Brooks, Dick Van Patten, Barry Levinson, Robert Ridgely",20th Century Fox,1977,88 min.,314,
“Mel Brooks’ Spaceballs”,"Mel Brooks, John Candy, Rick Moranis, Bill Pullman, Daphne Zuniga, Dick Van Patten, George Wyner, Michael Winslow, John Hurt, Jim J. Bullock, Stephen Tobolowsky, Rick Ducommun, Tim Russ, Tony Cox",Metro-Goldwyn-Mayer,1987,92 min.,,Kauf
“Memento”,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Stephen Tobolowsky, Callum Keith Rennie, Marianne Muellerleile",Summit Entertainment,2000,109 min.,,911
“Men in Black”,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D’Onofrio, Rip Torn, Tony Shalhoub, Carel Struycken, Verne Troyer",Columbia Pictures,1997,94 min.,,809
“Men in Black II”,"Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle, Johnny Knoxville, Rosario Dawson, Tony Shalhoub, Jack Kehler, Martha Stewart, Michael Jackson, Peter Graves, Barry Sonnenfeld",Columbia Pictures,2002,84 min.,,Kauf
“Men of Honor”,"Robert De Niro, Cuba Gooding Jr., Charlize Theron, Hal Holbrook, Michael Rapaport, David Conrad (I)",20th Century Fox,2000,123 min.,,Kauf
“Menace II Society”,"Jada Pinkett Smith, Glenn Plummer, Samuel L. Jackson, Charles S. Dutton",New Line Cinema,1993,93 min.,,
“Message in a Bottle”,"Kevin Costner, Robin Wright, Paul Newman, Robbie Coltrane",Warner Bros./Tobis,1999,126 min.,315,198/ Kauf
“Mexican”,"Brad Pitt, Julia Roberts, James Gandolfini, Gene Hackman",DreamWorks Pictures,2001,119 min.,502,268
“Mickey Blue Eyes”,"Hugh Grant, James Caan, Jeanne Tripplehorn",Universal Pictures/ Castle Rock Entertainment,1999,98 min.,322,
“Mighty Ducks – Das Superteam”,"Emilio Estevez, Joss Ackland, Lane Smith, Joshua Jackson, George Coe",Walt Disney Pictures,1992,98 min.,468,868
“Million Dollar Arm”,"Jon Hamm, Alan Arkin, Bill Paxton",Walt Disney Pictures,2014,124 min.,,Digital Copy
“Mimic”,"Mira Sorvino, F. Murray Abraham, Charles Dutton, Josh Brolin",Miramax Films,1997,100 min.,273,
“Minnesota”,"Keanu Reeves, Vincent D’Onofrio, Cameron Diaz, Dan Aykroyd, Delroy Lindo, Courtney Love",New Line Cinema,1996,94 min.,75,248
"""Minority Report""","Tom Cruise, Max von Sydow, Neal McDonough, Patrick Kilpatrick, Colin Farrell, Peter Stormare",20th Century Fox / Dreamworks Pictures,2002,145 min.,,Kauf (BD)
“Miss Bodyguard”,"Reese Witherspoon, Sofia Vergara, Richard T. Jones, John Carroll Lynch",Warner Bros. / New Line Cinema / Metro Goldwyn Mayer,2015,87 min.,,
“Miss Undercover”,"Sandra Bullock, Benjamin Bratt, Michael Caine, William Shatner, Ernie Hudson",Warner Bros./Castle Rock Entertainment,2000,105 min.,419,854
“Miss Undercover 2 – Fabelhaft und bewaffnet”,"Sandra Bullock, Regina King, William Shatner, Ernie Hudson, Treat Williams, Abraham Benrubi, Stephen Tobolowsky, Dolly Parton, William O’Leary, Megan Cavanagh, David Proval",Warner Bros./Castle Rock Entertainment,2005,110 min.,,405
“Mission Galactica: Angriff der Zylonen”,"Lorne Greene, Lloyd Bridges, Richard Hatch (I), Dirk Benedict, John Colicos, George Murdock (I)",Universal Pictures,1978,102 min.,,
“Mission: Impossible II”,"Tom Cruise, Dougray Scott, Ving Rhames, Brendan Gleeson, Anthony Hopkins",Paramount Pictures,2000,119 min.,376,Kauf
“Mission: Impossible III”,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Maggie Q, Laurence Fishburne, Bruce French",Paramount Pictures,2006,121 min.,,743/ Kauf
"""Mission: Impossible – Phantom Protokoll""","Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner, Michelle Monaghan, Ving Rhames, Tom Wilkinson",Paramount Pictures,2011,132 min.,,Kauf (BD)
“Mission to Mars”,"Gary Sinise, Tim Robbins, Don Cheadle, Armin Mueller-Stahl",Touchstone Pictures,2000,109 min.,399,
"""Mississippi Burning – Die Wurzel des Hasses""","Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif, R. Lee Ermey, Stephen Tobolowsky, Michael Rooker, Pruitt Taylor Vince, Kevin Dunn, Frankie Faison, Tobin Bell, Darius McCrary",Orion Pictures,1988,121 min.,92,770
“Mister Undercover”,"Chris Kattan, Peter Falk, Fred Ward, Richard Roundtree",Touchstone Pictures,2001,82 min.,520,
“Mit aller Macht”,"John Travolta, Emma Thompson, Billy Bob Thornton, Larry Hagman, Allison Janney",Universal Pictures,1998,118 min.,234,
"“Mit Schirm, Charme und Melone”","Ralph Fiennes, Uma Thurman, Sean Connery",Warner Bros.,1998,85 min.,264,904
“Mit stählerner Faust”,"Jean-Claude Van Damme, Patrick Kilpatrick, Armin Shimerman, Al Leong, Larry Hankin",Metro-Goldwyn-Mayer,1990,78 min.,,14
"“Moby Dick, 1. Teil”","Patrick Stewart, Ted Levine, Henry Thomas, Piripi Waretini, Gregory Peck",USA Pictures/Artisan Entertainment,1998,86 min.,425,442
"“Moby Dick, 2. Teil”","Patrick Stewart, Ted Levine, Henry Thomas, Piripi Waretini, Gregory Peck",USA Pictures/Artisan Entertainment,1998,89 min.,425,733
“Mond über Parador”,"Richard Dreyfuss, Raul Julia, Sammy Davis Jr.",Universal Pictures,1987,96 min.,250,1415
“Money for Mercy”,"Denis Leary, Elizabeth Hurley",Gold Circle Films,2002,80 min.,,199
“Monster’s Ball”,"Billy Bob Thornton, Halle Berry, Heath Ledger, Peter Boyle",Lionsgate,2001,108 min.,493,628
“Monty Python – Der Sinn des Lebens”,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Matt Frewer",Universal Pictures,1983,101 min.,503,Kauf
“Mord im Weißen Haus”,"Wesley Snipes, Ronny Cox",Warner Bros.,1997,101 min.,264,
“Mord nach Plan”,"Sandra Bullock, Ben Chaplin",Warner Bros.,2002,115 min.,87,Kauf
“Mr. & Mrs. Smith”,"Brad Pitt, Angelina Jolie, Vince Vaughn, Keith David",20th Century Fox,2005,115 min.,,476/ Kauf
“Mr. Accident”,Yahoo Serious,United Artists/Metro Goldwyn Mayer,2000,86 min.,,
“Mr. Deeds”,"Adam Sandler, Winona Ryder, John Turturro, Allen Covert, Peter Gallagher, Jared Harris, Erick Avari, Conchata Ferrell, Steve Buscemi, Blake Clark, John McEnroe, Bruce French, Rob Schneider",Columbia Pictures / New Line Cinema,2002,92 min.,521,1689
“Mr. Magoo”,"Leslie Nielsen, Malcolm McDowell",Walt Disney Pictures,1997,83 min.,253,1340
“Mr. Mom”,"Michael Keaton, Teri Garr, Martin Mull, Jeffrey Tambor, Miriam Flynn, Christopher Lloyd",20th Century Fox,1983,83 min.,509,85
“Mr. Nice Guy”,Jackie Chan,New Line Cinema,1997,83 min.,343,
“Mrs. Doubtfire – Das stachelige Kindermädchen”,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Robert Prosky, Anne Haney, Paul Guilfoyle, William Newman",20th Century Fox,1993,120 min.,40,Kauf
“Mulholland Drive”,"Naomi Watts, Laura Harring, Robert Forster, Brent Briscoe, Dan Hedaya, Justin Theroux, Melissa George",Universal Pictures / Canal+,2001,140 min.,,Digital Copy
“München”,"Eric Bana, Daniel Craig, Ciarán Hinds, Geoffrey Rush, Michael Lonsdale, Moritz Bleibtreu",DreamWorks Pictures/ Universal Pictures,2005,157 min.,,536
“Mut zur Wahrheit”,"Denzel Washington, Meg Ryan, Matt Damon, Michael Moriarty, Scott Glenn, Sean Astin, Ken Jenkins, Bruce McGill",20th Century Fox,1996,111 min.,494,49
“My Big Fat Greek Wedding – Hochzeit auf Griechisch”,John Corbett,Home Box Office (HBO),2002,91 min.,,37/ Kauf
“My Blue Heaven”,"Steve Martin, Rick Moranis, Daniel Stern, Joan Cusack, Ed Lauter, Colleen Camp, Troy Evans",Warner Bros.,1990,91 min.,285,
“My Giant”,"Billy Crystal, Steven Seagal",Warner Bros.,1998,100 min.,231,
“My Super Ex-Girlfriend”,"Luke Wilson, Uma Thurman, Anna Faris, Rainn Wilson",20th Century Fox,2006,93 min.,,822
“Mystery – New York: Ein Spiel um die Ehre”,"Russell Crowe, Hank Azaria, Burt Reynolds, Colm Meaney, Lolita Davidovich, Michael McKean, Mike Myers, Little Richard",Hollywood Pictures,1999,114 min.,,
“Mystic River”,"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Laura Linney, Emmy Rossum, Eli Wallach",Warner Bros.,2003,132 min.,,317
“Nach 7 Tagen – Ausgeflittert”,"Ben Stiller, Malin Akerman, Michelle Monaghan, Jerry Stiller, Leslie Easterbrook, Eva Longoria Parker, E.E. Bell",DreamWorks Pictures,2007,111 min.,,Kauf
“Nadine – Eine kugelsichere Liebe”,"Jeff Bridges, Kim Basinger",TriStar,1987,80 min.,250,
“Narrow Margin”,"Gene Hackman, Anne Archer, James Sikking, J.T. Walsh, M. Emmet Walsh, Harris Yulin",TriStar,1990,92 min.,,51
“National Security”,"Martin Lawrence, Steve Zahn, Colm Feore, Bill Duke, Eric Roberts, Matt McCoy, Stephen Tobolowsky",Columbia Pictures,2003,85 min.,,56
“Natural Born Killers”,"Woody Harrelson, Juliette Lewis, Robert Downey Jr., Tommy Lee Jones, Tom Sizemore, Denis Leary, Mark Harmon, Rodney Dangerfield, Edie McClurg, Pruitt Taylor Vince, Joe Grifasi, Marshall Bell, Rachel Ticotin",Warner Bros.,1994,114 min.,356,
“Natürlich blond!”,"Reese Witherspoon, Luke Wilson, Jennifer Coolidge, Raquel Welch",Metro Goldwyn Mayer,2001,92 min.,444,1173
“Natürlich blond 2”,"Reese Witherspoon, Sally Field, Jennifer Coolidge, Bruce McGill, Dana Ivey, Luke Wilson",Metro Goldwyn Mayer,2003,91 min.,,117/ Kauf
“Next”,"Nicolas Cage, Julianne Moore, Jessica Biel, Thomas Kretschmann, Peter Falk",Paramount Pictures,2007,92 min.,,1053
“Next Friday”,"Ice Cube, Tom Lister Jr.",New Line Cinema,2000,93 min.,489,Kauf
“Nicht auflegen!”,"Colin Farrell, Forest Whitaker, Katie Holmes, Kiefer Sutherland",20th Century Fox,2002,78 min.,,11/ Kauf
“Nicht noch ein Teenie-Film!”,"Randy Quaid, Mr. T, Ed Lauter, Paul Gleason, Molly Ringwald, Melissa Joan Hart",Columbia Pictures,2001,85 min.,478,
“Nichts als Ärger mit dem Typ”,"Bette Midler, Shelley Long, Peter Coyote",Touchstone Pictures,1986,95 min.,263,707
“Nichts als die Wahrheit”,"Götz George, Kai Wiesinger, Hans Peter Hallwachs",Helkon Media,1999,123 min.,518,30
“Nico”,"Steven Seagal, Pam Grier, Henry Silva, Sharon Stone, Michael Rooker",Warner Bros.,1988,95 min.,510,1751
